DATE,OECDLOLITOAASTSAM
1968-10-01,101.20975627318
1968-11-01,101.321249791038
1968-12-01,101.382969418269
1969-01-01,101.400690584837
1969-02-01,101.391034961604
1969-03-01,101.355092201997
1969-04-01,101.292549723212
1969-05-01,101.193871387248
1969-06-01,101.066932499553
1969-07-01,100.926242138086
1969-08-01,100.784947846784
1969-09-01,100.64233941117
1969-10-01,100.491800531795
1969-11-01,100.330970831625
1969-12-01,100.158577991789
1970-01-01,99.976564098788
1970-02-01,99.7919394365156
1970-03-01,99.6092669152391
1970-04-01,99.4355868941152
1970-05-01,99.2850701728562
1970-06-01,99.1636850711336
1970-07-01,99.0665114911201
1970-08-01,98.9938266222693
1970-09-01,98.951982129933
1970-10-01,98.9555584102925
1970-11-01,99.0216852831268
1970-12-01,99.1441535830914
1971-01-01,99.2888916528246
1971-02-01,99.4239574682965
1971-03-01,99.5306345479869
1971-04-01,99.6051550094689
1971-05-01,99.6510170342948
1971-06-01,99.6751341270258
1971-07-01,99.6910791760133
1971-08-01,99.7131595566315
1971-09-01,99.7688040088362
1971-10-01,99.883733749962
1971-11-01,100.0710080577
1971-12-01,100.326652124582
1972-01-01,100.617014692357
1972-02-01,100.908867966755
1972-03-01,101.18319549907
1972-04-01,101.435183906734
1972-05-01,101.665815257987
1972-06-01,101.884190062774
1972-07-01,102.108146131001
1972-08-01,102.352555888667
1972-09-01,102.608858595876
1972-10-01,102.859331631607
1972-11-01,103.082613333265
1972-12-01,103.252238499381
1973-01-01,103.347718978877
1973-02-01,103.331404473949
1973-03-01,103.235789523004
1973-04-01,103.069189323894
1973-05-01,102.853592752372
1973-06-01,102.613143140032
1973-07-01,102.369200298149
1973-08-01,102.140392359091
1973-09-01,101.922451303968
1973-10-01,101.702417167587
1973-11-01,101.459099343412
1973-12-01,101.192282554392
1974-01-01,100.912555572985
1974-02-01,100.61355643559
1974-03-01,100.284016940162
1974-04-01,99.9160012215757
1974-05-01,99.5070346930998
1974-06-01,99.0552408231051
1974-07-01,98.5670507776111
1974-08-01,98.0549983441436
1974-09-01,97.5431422914305
1974-10-01,97.0790386797801
1974-11-01,96.7102680883452
1974-12-01,96.4806304271096
1975-01-01,96.4213476655163
1975-02-01,96.5112349681781
1975-03-01,96.7301913321007
1975-04-01,97.0469708986606
1975-05-01,97.4249681505098
1975-06-01,97.8364321712013
1975-07-01,98.261813004234
1975-08-01,98.6874399828495
1975-09-01,99.1090307541218
1975-10-01,99.517311427594
1975-11-01,99.9033239485794
1975-12-01,100.260012526174
1976-01-01,100.569211374717
1976-02-01,100.811957933108
1976-03-01,100.979424826581
1976-04-01,101.080509142589
1976-05-01,101.122969908611
1976-06-01,101.118147676955
1976-07-01,101.07624522982
1976-08-01,101.006253509633
1976-09-01,100.926276343525
1976-10-01,100.855664250592
1976-11-01,100.808451132451
1976-12-01,100.780521085913
1977-01-01,100.758519447555
1977-02-01,100.73190257137
1977-03-01,100.694815902589
1977-04-01,100.645127222794
1977-05-01,100.597098310341
1977-06-01,100.559376963233
1977-07-01,100.542903706238
1977-08-01,100.553260873809
1977-09-01,100.586160332018
1977-10-01,100.634092178833
1977-11-01,100.686472139574
1977-12-01,100.74309429073
1978-01-01,100.807200701149
1978-02-01,100.888855606043
1978-03-01,101.011019629421
1978-04-01,101.166486671591
1978-05-01,101.336871785352
1978-06-01,101.506045631888
1978-07-01,101.657732586165
1978-08-01,101.778902864476
1978-09-01,101.863200570991
1978-10-01,101.901845327516
1978-11-01,101.902793699468
1978-12-01,101.883709531352
1979-01-01,101.86796733788
1979-02-01,101.859486348455
1979-03-01,101.843486581465
1979-04-01,101.801655494332
1979-05-01,101.729104368484
1979-06-01,101.621479046834
1979-07-01,101.479975850404
1979-08-01,101.314001798397
1979-09-01,101.126545762903
1979-10-01,100.915233126767
1979-11-01,100.681606817036
1979-12-01,100.429971388302
1980-01-01,100.160375532383
1980-02-01,99.8644277496256
1980-03-01,99.5946310609576
1980-04-01,99.3709491415557
1980-05-01,99.2426829142789
1980-06-01,99.2398945900624
1980-07-01,99.3405786844493
1980-08-01,99.4944953121677
1980-09-01,99.6472632249387
1980-10-01,99.7585062977383
1980-11-01,99.8155638477471
1980-12-01,99.831981746451
1981-01-01,99.8288496274067
1981-02-01,99.8205385309313
1981-03-01,99.8114043788252
1981-04-01,99.7840955155241
1981-05-01,99.716611887262
1981-06-01,99.6161522540979
1981-07-01,99.4985820695903
1981-08-01,99.3713471874862
1981-09-01,99.2348143986675
1981-10-01,99.0984777495596
1981-11-01,98.9665275553243
1981-12-01,98.8362407156572
1982-01-01,98.6935773005521
1982-02-01,98.5155375277788
1982-03-01,98.3194265770189
1982-04-01,98.1252652566144
1982-05-01,97.953222505024
1982-06-01,97.8149795297167
1982-07-01,97.7321249258956
1982-08-01,97.7270213179876
1982-09-01,97.8105861674777
1982-10-01,97.9750173743233
1982-11-01,98.2028773858919
1982-12-01,98.4827598331319
1983-01-01,98.7947459709262
1983-02-01,99.1105448894785
1983-03-01,99.4287331438319
1983-04-01,99.733643134965
1983-05-01,100.008870106024
1983-06-01,100.253703254453
1983-07-01,100.461820918242
1983-08-01,100.635152558555
1983-09-01,100.782328334417
1983-10-01,100.906403940689
1983-11-01,101.00322642972
1983-12-01,101.07054775144
1984-01-01,101.097261166669
1984-02-01,101.06888667725
1984-03-01,100.991754587007
1984-04-01,100.881499835063
1984-05-01,100.753550866725
1984-06-01,100.613838721038
1984-07-01,100.484031820138
1984-08-01,100.373351801465
1984-09-01,100.284969543186
1984-10-01,100.225759139582
1984-11-01,100.201088250114
1984-12-01,100.209893092459
1985-01-01,100.229977951269
1985-02-01,100.232924995244
1985-03-01,100.225239125295
1985-04-01,100.206448809043
1985-05-01,100.17357354837
1985-06-01,100.121834286257
1985-07-01,100.050031636623
1985-08-01,99.9765688508719
1985-09-01,99.9134109871466
1985-10-01,99.8700752192845
1985-11-01,99.8461804979086
1985-12-01,99.8355490333451
1986-01-01,99.8302318802063
1986-02-01,99.8169909200892
1986-03-01,99.7983057824578
1986-04-01,99.7791098173011
1986-05-01,99.7602604025651
1986-06-01,99.7490570144572
1986-07-01,99.7467108874691
1986-08-01,99.7565638970402
1986-09-01,99.7760018484614
1986-10-01,99.8019072966013
1986-11-01,99.846928192724
1986-12-01,99.923835518115
1987-01-01,100.048303395247
1987-02-01,100.215260962983
1987-03-01,100.401413127461
1987-04-01,100.591889926489
1987-05-01,100.772963558017
1987-06-01,100.925585112787
1987-07-01,101.024078983125
1987-08-01,101.054355069966
1987-09-01,101.011946999418
1987-10-01,100.913423114611
1987-11-01,100.791101575105
1987-12-01,100.686329095419
1988-01-01,100.560663354822
1988-02-01,100.484813921711
1988-03-01,100.455997369655
1988-04-01,100.477821071137
1988-05-01,100.535781975528
1988-06-01,100.612736490139
1988-07-01,100.685619637878
1988-08-01,100.748798897652
1988-09-01,100.793679878001
1988-10-01,100.824252835409
1988-11-01,100.842436183011
1988-12-01,100.844628962203
1989-01-01,100.82826667346
1989-02-01,100.793218442225
1989-03-01,100.742250337276
1989-04-01,100.675496991756
1989-05-01,100.602929896447
1989-06-01,100.539412994917
1989-07-01,100.492170876411
1989-08-01,100.460834004685
1989-09-01,100.445104153124
1989-10-01,100.442563092504
1989-11-01,100.457592843623
1989-12-01,100.486793762803
1990-01-01,100.51745290139
1990-02-01,100.532517409196
1990-03-01,100.525029233425
1990-04-01,100.476866075964
1990-05-01,100.379092084168
1990-06-01,100.214883885423
1990-07-01,99.9814748544641
1990-08-01,99.6912180005758
1990-09-01,99.3815885227379
1990-10-01,99.087390510847
1990-11-01,98.8473005906828
1990-12-01,98.6962233128006
1991-01-01,98.63951976435
1991-02-01,98.676454477902
1991-03-01,98.7862779333748
1991-04-01,98.9260853154481
1991-05-01,99.0687587214654
1991-06-01,99.2002101680034
1991-07-01,99.2985974181162
1991-08-01,99.3436467404829
1991-09-01,99.3432187230272
1991-10-01,99.3128728073799
1991-11-01,99.2716542687234
1991-12-01,99.242903619936
1992-01-01,99.2440126398475
1992-02-01,99.2632007487662
1992-03-01,99.2844221298884
1992-04-01,99.2883398132496
1992-05-01,99.2533352902769
1992-06-01,99.1720754661598
1992-07-01,99.0547323482908
1992-08-01,98.926144427058
1992-09-01,98.8203225708159
1992-10-01,98.7540049160323
1992-11-01,98.7316148158016
1992-12-01,98.7424162063163
1993-01-01,98.7658358299965
1993-02-01,98.7889399050934
1993-03-01,98.803518448054
